Datetime,PPO,DQN,EW,BH
2025-11-04 18:30:00,-0.0029830467437786203,-0.001983046768514464,1.8744879711983813e-05,1.8744879711983813e-05
2025-11-04 19:00:00,-0.0036503907305341587,-0.001413455264501786,3.3841557673591805e-05,3.3042761856814126e-05
2025-11-04 19:30:00,-0.0032609960567606725,-0.002776937473939471,-0.0010964147277821633,-0.001097777222608801
2025-11-04 20:00:00,-0.002871837761441778,-0.0026438950280705106,-0.0005738340409222752,-0.0005745759564037196
2025-11-04 20:30:00,-0.0029273983002960423,-0.0028518636137766346,-0.0011760274744129144,-0.001178037074732941
2025-11-05 14:30:00,-0.008836523716724415,0.003977621085508193,0.0014276123361109446,0.001421160667914524
2025-11-05 15:00:00,-0.01006868464958385,0.004763828688533863,0.0015772329155837204,0.0015696921430918792
2025-11-05 15:30:00,-0.011693792399016063,0.005191152624061108,0.0015499958847110804,0.001543428058084429
2025-11-05 16:00:00,-0.01247924682477183,0.005993167697826197,0.0019098730929854523,0.0019032585801321553
2025-11-05 16:30:00,-0.01337537519605068,0.006290131089274509,0.002742750826776755,0.0027360424014486956
2025-11-05 17:00:00,-0.013882271548336086,0.005562341765663146,0.002711734595734495,0.002706478063855347
2025-11-05 17:30:00,-0.01365854355985328,0.005778633496675282,0.003055737015207797,0.003050968531817532
2025-11-05 18:00:00,-0.0130406146812338,0.006249571789168776,0.00354567017723192,0.0035409697470364975
2025-11-05 18:30:00,-0.01318218430084043,0.006353490341884817,0.0038703029044701806,0.0038665621914029447
2025-11-05 19:00:00,-0.013995826854983053,0.0065835989572076035,0.003503382762585272,0.003498831793360373
2025-11-05 19:30:00,-0.013602383596822464,0.007374830177977605,0.00393761080111767,0.003932514971968434
2025-11-05 20:00:00,-0.013832788103727808,0.006612391664368245,0.003263393746731749,0.0032580925230178133
2025-11-05 20:30:00,-0.0141081941418422,0.004494195364296627,0.0014110624500446938,0.001403469551316609
2025-11-06 14:30:00,-0.0059896931380394956,0.0010797925537317566,0.0004874250272318998,0.00047320440118316196
2025-11-06 15:00:00,-0.00638015202366516,-0.0009038739578066677,4.1179416350393906e-05,2.8338924119524324e-05
2025-11-06 15:30:00,-0.005822424616624171,-0.004078095243037432,-0.003520513396025152,-0.003537168412309297
2025-11-06 16:00:00,-0.005209317498545303,-0.0030975833938754788,-0.002668533158943818,-0.002685146942069068
2025-11-06 16:30:00,-0.0043181804007917345,-0.004696610171521473,-0.00451640078793876,-0.004535400607871597
2025-11-06 17:00:00,-0.004540932726479991,-0.006621413423970905,-0.004932485963293382,-0.0049486224876718905
2025-11-06 17:30:00,-0.005543677495294497,-0.002581091565714122,-0.002649442218793772,-0.0026666179282186903
2025-11-06 18:00:00,-0.005432268437478174,-0.0033663430764043676,-0.0030417715504939997,-0.0030585832099337975
2025-11-06 18:30:00,-0.005376483520639504,-0.0023783593198954097,-0.002449693695825206,-0.0024670928996298686
2025-11-06 19:00:00,-0.005933962214442693,-0.0005063863826396157,-0.0006048544347633353,-0.0006206082495463286
2025-11-06 19:30:00,-0.00576670298776539,-0.0021573477033638606,-0.0014425992920934932,-0.0014575194401433393
2025-11-06 20:00:00,-0.005655184026134934,-0.0030853142096905054,-0.002308389364531523,-0.0023240424206584453
2025-11-06 20:30:00,-0.0048750692718770045,-0.004508800607895821,-0.0039927235682218,-0.004010492692995863
2025-11-07 14:30:00,-0.008949507546920922,-0.004277130574429894,-0.007909794281997036,-0.007936239377644833
2025-11-07 15:00:00,-0.0068265410795850315,-0.004889495748371187,-0.008004521984646776,-0.008031658716390052
2025-11-07 15:30:00,-0.005989693228173534,-0.006730653856951136,-0.010326175099434643,-0.01035661190273347
2025-11-07 16:00:00,-0.00431818044124499,-0.0038645350028810635,-0.009291015793937471,-0.00932542208664901
2025-11-07 16:30:00,-0.00415119122750889,-0.004289059556190751,-0.010019926853253385,-0.010055630112958248
2025-11-07 17:00:00,-0.00481940046730294,-0.006293826668219249,-0.009385994278591792,-0.009417504118280122
2025-11-07 17:30:00,-0.004429550393888884,-0.004365195515829773,-0.008555910038243231,-0.00858857678052224
2025-11-07 18:00:00,-0.004758125804540496,-0.004989425398513909,-0.0075295883699970124,-0.0075597977810558485
2025-11-07 18:30:00,-0.005655184069250571,-0.005310695396214175,-0.0074311598871173975,-0.007461732407007951
2025-11-07 19:00:00,-0.005599471769909137,-0.004882414621890783,-0.006764753495327151,-0.006794525305278535
2025-11-07 19:30:00,-0.007493132344402995,-0.003209811095900908,-0.004357738559869571,-0.004383256904270025
2025-11-07 20:00:00,-0.006938105573803997,-0.005350268584978852,-0.005783365613485891,-0.005808821539329544
2025-11-07 20:30:00,-0.00699397765246464,-0.003209823888514386,-0.003523100597176347,-0.003546700417755973
2025-11-10 14:30:00,-0.007096616594865776,0.01635725272950453,0.00897077978310385,0.008943033329295903
2025-11-10 15:00:00,-0.007552273734769864,0.017500940831321227,0.009408791778595264,0.00938014798253849
2025-11-10 15:30:00,-0.007943343357629437,0.015378541904438887,0.006868635365015584,0.00683773631424006
2025-11-10 16:00:00,-0.007943343358377923,0.012642790438619426,0.006801602429990709,0.006767953861867118
2025-11-10 16:30:00,-0.008781743090285288,0.011804390694096497,0.00749201255294064,0.007459123252098916
2025-11-10 17:00:00,-0.008502169961985285,0.011083963818387074,0.008255282472478268,0.00822291986436829
2025-11-10 17:30:00,-0.008390430812651705,0.011888152502943216,0.010170377231943408,0.010139221204493544
2025-11-10 18:00:00,-0.0076640044646168574,0.009453206599722973,0.011042487614900679,0.011009172583319031
2025-11-10 18:30:00,-0.007831581366986601,0.006038645733655594,0.011063492806732413,0.011031310758103392
2025-11-10 19:00:00,-0.007324419187608748,0.006545807908030287,0.012178044678220912,0.012146142157345587
2025-11-10 19:30:00,-0.0076081801343819856,0.006262046957256909,0.012375874631834701,0.012344690946337862
2025-11-10 20:00:00,-0.008334480623758894,0.0055357464636351765,0.01216324277329755,0.012132508212854802
2025-11-10 20:30:00,-0.007273044054873207,0.006597183038380365,0.01251041300639037,0.012479673172704929
2025-11-11 14:30:00,-0.00326099594036992,0.010609231180361616,0.013210771493688793,0.013176072379073327
2025-11-11 15:00:00,-0.002593911697201587,0.011276315449764027,0.010662052329267042,0.010630022077954528
2025-11-11 15:30:00,-0.0022401725133043594,0.011602389544455853,0.010625108129930875,0.010591485333500456
2025-11-11 16:00:00,-0.0030167792316576434,0.01079810068198384,0.01069355761888141,0.010659375125633364
2025-11-11 16:30:00,-0.0031931206870097475,0.010594010470786168,0.01104488014384796,0.01101011426216458
2025-11-11 17:00:00,-0.0027525376987492366,0.011007046511964625,0.012194719051803582,0.012161306646483423
2025-11-11 17:30:00,-0.0030922833022529717,0.010639718964799701,0.013019387772691585,0.012987357360818406
2025-11-11 18:00:00,-0.003014137483741375,0.010690304059968628,0.013333961172119095,0.013303526000576677
2025-11-11 18:30:00,-0.003432460892024773,0.010243657963739008,0.014022595517528798,0.013992361294320708
2025-11-11 19:00:00,-0.0033213632721779997,0.010326233558740638,0.014012940488553553,0.013981471800599771
2025-11-11 19:30:00,-0.0033788373699275647,0.010239874307172688,0.014367202091883882,0.014334648607187748
2025-11-11 20:00:00,-0.0032405784048186656,0.01034915414481792,0.014444427807104632,0.01441119111407383
2025-11-11 20:30:00,-0.0031578542740537036,0.01040281487034666,0.014576062036756657,0.014541837094845252
2025-11-12 14:30:00,-0.002574945799739086,0.010956689560818526,0.014995672585622524,0.01495983167996084
2025-11-12 15:00:00,-0.0022144765688328107,0.0112881306215214,0.016995410218702277,0.016953705586498224
2025-11-12 15:30:00,-0.0017199089143756434,0.011753661016123228,0.017151976277742422,0.017106189713785313
2025-11-12 16:00:00,-0.0009948363160266133,0.012449714093689045,0.017926899783821174,0.01788060685789407
2025-11-12 16:30:00,0.00014193042060533676,0.013557404068218586,0.018114272679334832,0.018065054367500052
2025-11-12 17:00:00,0.00038943779830469786,0.013775840465561478,0.01869610893839436,0.01864756513626257
